f_qual,f_annee_construction,f_CuisineQual,f_cheminee,f_Quartier,f_surface_habitable,f_nb_places,f_surface_sous_sol,f_surface_1er_etage,f_nb_salle_bain,f_prix
6,1950-1980,TA,1,NAmes,1656,2.0,1080.0,1656,1,215000
6,1950-1980,Gd,0,NAmes,1329,1.0,1329.0,1329,1,172000
7,1950-1980,Ex,1,NAmes,2110,2.0,2110.0,2110,2,244000
5,1980-2000,TA,1,Gilbert,1629,2.0,928.0,928,2,189900
6,1980-2000,Gd,1,Gilbert,1604,2.0,926.0,926,2,195500
8,après 2000,Gd,0,StoneBr,1338,2.0,1338.0,1338,2,213500
8,1980-2000,Gd,0,StoneBr,1280,2.0,1280.0,1280,2,191500
8,1980-2000,Gd,1,StoneBr,1616,2.0,1595.0,1616,2,236500
7,1980-2000,Gd,1,Gilbert,1804,2.0,994.0,1028,2,189000
6,1980-2000,TA,1,Gilbert,1655,2.0,763.0,763,2,175900
6,1980-2000,TA,0,Gilbert,1187,2.0,1168.0,1187,2,185000
6,1980-2000,TA,1,Gilbert,1465,2.0,789.0,789,2,180400
7,1980-2000,Gd,1,Gilbert,1341,2.0,1300.0,1341,1,171500
8,1980-2000,Gd,0,StoneBr,1502,2.0,1488.0,1502,1,212000
8,après 2000,Ex,1,StoneBr,3279,3.0,1650.0,1690,3,538000
8,1980-2000,TA,0,Gilbert,1752,2.0,559.0,1080,2,164000
9,après 2000,Ex,1,StoneBr,1856,3.0,1856.0,1856,1,394432
4,1950-1980,TA,0,Gilbert,864,2.0,864.0,864,1,141000
6,1950-1980,TA,1,NWAmes,2073,2.0,1542.0,2073,2,210000
6,1950-1980,TA,1,NWAmes,1844,2.0,1844.0,1844,2,190000
7,1950-1980,Gd,1,NWAmes,1173,2.0,1053.0,1173,2,170000
7,1980-2000,Gd,0,Somerst,1674,2.0,814.0,814,2,216000
6,1950-1980,TA,1,NAmes,1004,2.0,1004.0,1004,1,149000
5,1950-1980,TA,1,NAmes,1078,2.0,1078.0,1078,1,149900
5,1950-1980,TA,1,NAmes,1056,1.0,1056.0,1056,1,142000
4,1950-1980,TA,0,NAmes,882,2.0,882.0,882,1,126000
4,1950-1980,TA,1,NAmes,864,0.0,864.0,864,1,115000
7,1980-2000,Gd,1,NAmes,1337,2.0,1405.0,1337,2,184000
6,1950-1980,TA,0,BrDale,987,1.0,483.0,483,1,96000
5,1950-1980,TA,0,BrDale,1092,1.0,525.0,525,1,105500
6,1950-1980,TA,0,BrDale,1092,1.0,525.0,525,1,88000
6,1950-1980,TA,1,NPkVill,1069,2.0,1069.0,1069,2,127500
6,1950-1980,Gd,1,NPkVill,1456,2.0,855.0,855,2,149900
7,1950-1980,TA,0,NPkVill,836,1.0,836.0,836,1,120000
6,1950-1980,TA,1,NPkVill,1456,2.0,855.0,855,2,146000
9,après 2000,Ex,1,NridgHt,2334,3.0,1590.0,1627,2,376162
8,après 2000,Gd,1,NridgHt,1704,3.0,1704.0,1704,2,306000
9,après 2000,Ex,1,NridgHt,1940,3.0,1930.0,1940,2,395192
8,après 2000,Gd,0,NridgHt,1544,3.0,1544.0,1544,2,290941
7,après 2000,Gd,1,NridgHt,1541,2.0,1541.0,1541,2,220000
9,après 2000,Ex,1,NridgHt,1698,3.0,1698.0,1698,2,275000
8,après 2000,Ex,1,NridgHt,1822,3.0,1822.0,1822,2,259000
7,après 2000,Gd,0,NridgHt,1535,2.0,1517.0,1535,2,214000
9,après 2000,Ex,1,NridgHt,2364,3.0,2330.0,2364,2,611657
7,après 2000,Gd,1,NridgHt,1358,2.0,1358.0,1358,2,224000
9,après 2000,Ex,1,NridgHt,2696,3.0,2846.0,2696,2,500000
8,après 2000,Gd,1,NridgHt,2250,3.0,1671.0,1687,2,320000
9,après 2000,Ex,1,NridgHt,1752,2.0,1752.0,1752,2,319900
8,après 2000,Gd,1,NridgHt,1370,2.0,1370.0,1370,2,205000
7,après 2000,Gd,0,NridgHt,1626,2.0,764.0,764,2,175500
6,après 2000,Gd,0,Gilbert,1324,2.0,1324.0,1324,2,199500
7,après 2000,Gd,0,Blmngtn,1145,2.0,1145.0,1145,2,160000
8,après 2000,Gd,1,Blmngtn,1269,2.0,1256.0,1269,2,192000
7,après 2000,Gd,1,Gilbert,1374,2.0,384.0,744,2,184500
6,après 2000,Gd,1,Gilbert,1960,2.0,860.0,860,2,216500
7,après 2000,Gd,1,Gilbert,1733,2.0,847.0,847,2,185088
7,1980-2000,TA,1,Gilbert,1430,2.0,384.0,774,2,180000
7,après 2000,Gd,1,Gilbert,2035,2.0,884.0,884,2,222500
9,1980-2000,Gd,1,NoRidge,2599,3.0,1393.0,1422,2,333168
8,1980-2000,Gd,1,NoRidge,2475,3.0,1629.0,1645,2,355000
7,1980-2000,Gd,1,NoRidge,1720,2.0,1720.0,1720,2,260400
8,1980-2000,Gd,1,NoRidge,2622,2.0,1463.0,1500,2,325000
8,1980-2000,Gd,1,NoRidge,2270,3.0,1152.0,1164,2,290000
7,1980-2000,TA,0,NoRidge,1839,2.0,1195.0,1195,2,221000
8,1980-2000,Gd,1,NoRidge,3238,3.0,2033.0,2053,2,410000
8,après 2000,Gd,1,Somerst,1595,3.0,1595.0,1595,2,221500
7,après 2000,Gd,0,Somerst,1218,2.0,1218.0,1218,2,204500
7,après 2000,Gd,0,Somerst,1547,2.0,756.0,764,2,215200
8,après 2000,Gd,0,Somerst,1566,2.0,1566.0,1566,2,262500
7,après 2000,Gd,1,Somerst,1947,2.0,991.0,991,2,254900
6,après 2000,Gd,1,Somerst,1468,2.0,1468.0,1468,2,271500
7,après 2000,Gd,0,SawyerW,2084,2.0,956.0,956,2,233000
7,après 2000,Gd,0,SawyerW,1659,2.0,831.0,831,2,181000
7,1980-2000,Gd,1,SawyerW,2110,2.0,948.0,1222,2,205000
6,1950-1980,TA,1,SawyerW,923,1.0,923.0,923,2,143000
6,1980-2000,Gd,1,SawyerW,1845,2.0,1055.0,1055,2,189000
6,1950-1980,TA,1,SawyerW,918,1.0,918.0,918,2,99500
6,1980-2000,TA,0,SawyerW,752,1.0,744.0,752,1,125000
7,1980-2000,Gd,0,SawyerW,1744,2.0,996.0,1014,2,194500
6,1980-2000,TA,0,SawyerW,1097,2.0,1040.0,1097,2,152000
6,1950-1980,TA,1,SawyerW,1564,2.0,650.0,888,2,171000
5,1900-1950,TA,0,SawyerW,1012,1.0,816.0,1012,1,67500
